Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.21,-.18,-.27,-.14,-.29,-.24,-.07,-.17,-.16,-.19,-.22,-.20,***,***,-.20,-.20,-.17
1881,-.10,-.14,.01,-.03,-.04,-.29,-.07,-.03,-.09,-.20,-.26,-.16,-.12,-.12,-.15,-.02,-.13,-.18
1882,.09,.08,.01,-.20,-.18,-.25,-.11,.03,-.01,-.22,-.21,-.25,-.10,-.09,.00,-.12,-.11,-.15
1883,-.34,-.42,-.18,-.24,-.25,-.12,-.08,-.13,-.18,-.11,-.20,-.18,-.20,-.21,-.34,-.22,-.11,-.17
1884,-.18,-.12,-.34,-.36,-.32,-.38,-.34,-.26,-.23,-.22,-.29,-.29,-.28,-.27,-.16,-.34,-.32,-.25
1885,-.65,-.29,-.23,-.44,-.41,-.50,-.29,-.27,-.19,-.19,-.22,-.06,-.31,-.33,-.41,-.36,-.35,-.20
1886,-.42,-.46,-.41,-.29,-.27,-.39,-.16,-.31,-.19,-.25,-.26,-.25,-.31,-.29,-.31,-.32,-.29,-.23
1887,-.66,-.48,-.31,-.37,-.33,-.20,-.19,-.27,-.19,-.32,-.25,-.38,-.33,-.32,-.46,-.34,-.22,-.25
1888,-.42,-.42,-.47,-.28,-.22,-.20,-.09,-.11,-.08,.02,.00,-.12,-.20,-.22,-.41,-.32,-.14,-.02
1889,-.20,.15,.05,.05,-.02,-.12,-.05,-.17,-.18,-.21,-.30,-.31,-.11,-.09,-.06,.02,-.11,-.23
1890,-.48,-.48,-.41,-.37,-.48,-.27,-.29,-.36,-.36,-.22,-.37,-.30,-.37,-.37,-.42,-.42,-.31,-.32
1891,-.46,-.49,-.15,-.25,-.17,-.22,-.22,-.21,-.13,-.23,-.37,-.02,-.24,-.27,-.42,-.19,-.22,-.25
1892,-.26,-.15,-.36,-.35,-.25,-.20,-.28,-.19,-.25,-.16,-.50,-.29,-.27,-.25,-.14,-.32,-.22,-.30
1893,-.68,-.51,-.24,-.32,-.35,-.24,-.14,-.23,-.18,-.16,-.17,-.38,-.30,-.29,-.49,-.30,-.20,-.17
1894,-.55,-.32,-.22,-.42,-.30,-.44,-.32,-.28,-.22,-.17,-.25,-.22,-.31,-.32,-.42,-.31,-.35,-.21
