Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.54,-.44,-.30,-.46,-.11,-.27,-.29,-.29,-.34,-.26,-.39,-.42,-.34,***,***,-.29,-.28,-.33
1881,-.08,-.25,-.03,-.08,-.13,-.44,-.06,-.05,-.22,-.36,-.43,-.31,-.20,-.21,-.25,-.08,-.18,-.34
1882,.16,.18,-.05,-.41,-.33,-.32,-.19,.00,-.04,-.50,-.36,-.39,-.19,-.18,.01,-.26,-.17,-.30
1883,-.58,-.67,-.18,-.31,-.30,-.24,-.14,-.27,-.31,-.13,-.34,-.26,-.31,-.32,-.55,-.26,-.22,-.26
1884,-.22,-.15,-.66,-.60,-.42,-.50,-.45,-.51,-.46,-.36,-.44,-.37,-.43,-.42,-.21,-.56,-.49,-.42
1885,-1.12,-.36,-.19,-.56,-.57,-.55,-.34,-.45,-.33,-.30,-.28,.02,-.42,-.45,-.61,-.44,-.45,-.30
1886,-.66,-.67,-.57,-.37,-.36,-.43,-.15,-.46,-.30,-.26,-.34,-.12,-.39,-.38,-.44,-.43,-.35,-.30
1887,-1.00,-.53,-.33,-.41,-.32,-.13,-.12,-.43,-.12,-.38,-.19,-.45,-.37,-.34,-.55,-.35,-.23,-.23
1888,-.58,-.59,-.63,-.30,-.14,-.05,.05,-.11,-.10,.04,-.03,-.35,-.23,-.24,-.54,-.36,-.04,-.03
1889,-.41,.28,.02,.12,-.08,-.13,.02,-.13,-.20,-.33,-.54,-.53,-.16,-.14,-.16,.02,-.08,-.36
1890,-.66,-.60,-.42,-.33,-.48,-.16,-.28,-.40,-.41,-.11,-.52,-.41,-.40,-.41,-.60,-.41,-.28,-.35
1891,-.63,-.71,-.09,-.28,-.17,-.13,-.15,-.11,.03,-.24,-.55,.07,-.25,-.29,-.58,-.18,-.13,-.26
1892,-.35,-.18,-.54,-.42,-.24,-.01,-.15,-.06,-.32,-.21,-.87,-.49,-.32,-.27,-.15,-.40,-.08,-.47
1893,-1.32,-.86,-.29,-.30,-.36,-.17,-.11,-.25,-.17,-.20,-.21,-.65,-.41,-.39,-.89,-.31,-.18,-.19
1894,-.88,-.42,-.19,-.51,-.24,-.46,-.31,-.28,-.26,-.22,-.47,-.32,-.38,-.41,-.65,-.32,-.35,-.32
1895,-.73,-.75,-.36,-.20,-.26,-.26,-.17,-.29,.04,-.11,-.08,-.18,-.28,-.29,-.60,-.28,-.24,-.05
1896,-.43,-.24,-.52,-.62,-.19,.07,-.01,-.10,-.06,.04,-.29,-.23,-.22,-.21,-.28,-.44,-.02,-.11
1897,-.35,-.33,-.30,.01,.17,-.03,.02,.03,-.03,-.13,-.25,-.34,-.13,-.12,-.30,-.04,.01,-.14
1898,.01,-.45,-.71,-.25,-.35,-.10,-.11,-.16,-.12,-.31,-.41,-.22,-.26,-.27,-.26,-.44,-.12,-.28
1899,-.11,-.58,-.49,-.19,-.22,-.33,-.17,.01,.01,.15,.39,-.45,-.17,-.15,-.30,-.30,-.16,.18
1900,-.58,-.03,.19,-.14,.05,-.10,-.03,.01,.03,.24,-.16,-.04,-.05,-.08,-.35,.04,-.04,.04
1901,-.38,.07,.29,.10,-.11,.04,.05,-.06,-.19,-.28,-.17,-.37,-.08,-.06,-.12,.09,.01,-.21
1902,-.18,.13,-.34,-.38,-.42,-.44,-.28,-.23,-.23,-.32,-.50,-.67,-.32,-.30,-.14,-.38,-.32,-.35
1903,-.23,.19,-.15,-.49,-.54,-.56,-.36,-.52,-.42,-.42,-.36,-.53,-.36,-.38,-.24,-.39,-.48,-.40
1904,-.78,-.56,-.42,-.56,-.48,-.51,-.57,-.45,-.56,-.34,-.08,-.25,-.46,-.48,-.62,-.49,-.51,-.33
1905,-.44,-.75,-.20,-.42,-.30,-.31,-.18,-.24,-.10,-.21,.08,-.28,-.28,-.28,-.48,-.31,-.24,-.08
1906,-.55,-.59,-.11,.09,-.16,-.07,-.29,-.12,-.18,-.11,-.39,.00,-.21,-.23,-.47,-.06,-.16,-.23
1907,-.54,-.71,-.25,-.50,-.60,-.51,-.40,-.40,-.38,-.21,-.63,-.56,-.47,-.43,-.42,-.45,-.44,-.41
1908,-.51,-.30,-.70,-.48,-.36,-.35,-.38,-.57,-.29,-.44,-.60,-.55,-.46,-.46,-.46,-.52,-.43,-.45
1909,-.90,-.48,-.61,-.69,-.53,-.52,-.41,-.30,-.36,-.32,-.13,-.54,-.48,-.48,-.64,-.61,-.41,-.27
1910,-.41,-.41,-.46,-.37,-.36,-.44,-.37,-.37,-.39,-.26,-.56,-.80,-.43,-.41,-.45,-.40,-.39,-.40
1911,-.75,-.61,-.62,-.46,-.47,-.28,-.37,-.42,-.31,-.14,-.14,-.35,-.41,-.45,-.72,-.52,-.36,-.20
1912,-.41,-.15,-.60,-.23,-.18,-.21,-.55,-.74,-.67,-.80,-.48,-.55,-.46,-.45,-.30,-.34,-.50,-.65
1913,-.57,-.58,-.46,-.49,-.60,-.56,-.54,-.43,-.40,-.41,-.13,.09,-.42,-.48,-.57,-.52,-.51,-.32
1914,.19,-.09,-.29,-.37,-.25,-.26,-.37,-.23,-.21,.02,-.22,-.11,-.18,-.17,.06,-.30,-.29,-.14
1915,-.21,-.03,-.19,.05,.02,-.10,-.03,-.11,-.11,-.25,.01,-.17,-.09,-.09,-.12,-.04,-.08,-.12
1916,-.09,-.17,-.38,-.31,-.30,-.45,-.30,-.31,-.39,-.25,-.36,-1.07,-.37,-.29,-.15,-.33,-.35,-.33
1917,-.52,-.63,-.65,-.50,-.71,-.46,-.31,-.38,-.25,-.54,-.24,-1.08,-.52,-.52,-.74,-.62,-.39,-.34
1918,-.56,-.36,-.17,-.54,-.48,-.38,-.33,-.29,-.17,.05,-.20,-.58,-.33,-.38,-.67,-.40,-.33,-.11
1919,-.40,-.40,-.42,-.30,-.45,-.39,-.31,-.20,-.11,-.07,-.43,-.51,-.33,-.34,-.46,-.39,-.30,-.20
1920,-.06,-.21,.07,-.24,-.21,-.26,-.25,-.30,-.33,-.39,-.44,-.66,-.27,-.26,-.26,-.13,-.27,-.39
1921,.24,-.11,-.09,-.16,-.23,-.13,-.02,-.24,-.14,.01,-.07,-.13,-.09,-.13,-.18,-.16,-.13,-.07
1922,-.39,-.64,-.07,-.17,-.20,-.18,-.26,-.33,-.37,-.30,-.12,-.14,-.26,-.26,-.38,-.15,-.26,-.26
1923,-.24,-.45,-.39,-.54,-.40,-.22,-.26,-.21,-.10,.14,.24,.12,-.19,-.21,-.27,-.44,-.23,.09
1924,-.25,-.21,.05,-.28,-.07,-.18,-.17,-.22,-.20,-.19,.14,-.34,-.16,-.12,-.11,-.10,-.19,-.08
1925,-.21,-.32,-.16,-.12,-.22,-.24,-.23,-.12,.05,-.03,.24,.30,-.09,-.14,-.29,-.17,-.20,.09
1926,.51,.25,.37,-.12,-.21,-.17,-.16,-.06,-.01,.09,.20,-.25,.04,.08,.35,.01,-.13,.09
