Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.06,.03,-.06,-.08,-.17,-.31,-.18,.14,.00,-.06,.02,-.02,-.06,***,***,-.11,-.12,-.01
1881,-.12,-.03,.04,.02,.04,-.14,-.07,.00,.04,-.04,-.10,-.01,-.03,-.03,-.06,.03,-.07,-.04
1882,.02,-.01,.07,.01,-.02,-.18,-.03,.06,.02,.04,-.06,-.13,-.02,-.01,.00,.02,-.05,.00
1883,-.10,-.17,-.17,-.17,-.20,.01,-.02,.01,-.06,-.10,-.06,-.11,-.10,-.10,-.13,-.18,.00,-.07
1884,-.15,-.09,-.03,-.12,-.22,-.26,-.23,-.02,-.02,-.09,-.16,-.21,-.13,-.12,-.11,-.12,-.17,-.09
1885,-.21,-.24,-.29,-.32,-.27,-.45,-.24,-.12,-.08,-.10,-.17,-.13,-.22,-.22,-.22,-.29,-.27,-.12
1886,-.19,-.25,-.26,-.22,-.19,-.35,-.17,-.16,-.08,-.25,-.18,-.37,-.22,-.20,-.19,-.22,-.23,-.17
1887,-.32,-.42,-.30,-.33,-.34,-.26,-.25,-.11,-.26,-.25,-.31,-.31,-.29,-.29,-.37,-.32,-.21,-.28
1888,-.27,-.27,-.32,-.26,-.30,-.36,-.23,-.11,-.06,-.01,.04,.09,-.17,-.21,-.28,-.29,-.23,-.01
1889,.00,.00,.07,-.02,.03,-.10,-.10,-.22,-.15,-.11,-.06,-.09,-.06,-.05,.03,.02,-.14,-.11
1890,-.29,-.37,-.40,-.41,-.48,-.39,-.30,-.31,-.31,-.33,-.23,-.20,-.33,-.33,-.25,-.43,-.33,-.29
1891,-.30,-.27,-.20,-.23,-.17,-.31,-.29,-.31,-.30,-.23,-.20,-.12,-.24,-.25,-.26,-.20,-.30,-.24
1892,-.16,-.13,-.19,-.28,-.26,-.38,-.41,-.33,-.18,-.11,-.13,-.09,-.22,-.22,-.13,-.24,-.37,-.14
1893,-.06,-.17,-.20,-.35,-.34,-.30,-.16,-.23,-.20,-.13,-.13,-.12,-.20,-.20,-.11,-.29,-.23,-.15
1894,-.24,-.22,-.23,-.32,-.35,-.41,-.33,-.28,-.18,-.11,-.02,-.12,-.23,-.23,-.19,-.30,-.34,-.11
1895,-.16,-.11,-.22,-.24,-.20,-.24,-.16,-.03,-.06,-.09,-.22,-.06,-.15,-.15,-.13,-.22,-.14,-.12
1896,-.04,-.07,-.08,-.04,-.21,-.33,-.10,-.08,-.03,.05,-.03,-.01,-.08,-.08,-.05,-.11,-.17,.00
1897,-.11,-.06,.05,-.04,-.17,-.22,-.11,-.09,-.06,-.06,-.11,-.18,-.10,-.08,-.06,-.05,-.14,-.08
1898,-.15,-.22,-.41,-.41,-.37,-.31,-.34,-.30,-.26,-.33,-.30,-.22,-.30,-.30,-.18,-.39,-.32,-.30
1899,-.26,-.22,-.22,-.23,-.19,-.19,-.10,-.08,-.03,-.15,-.13,-.09,-.16,-.17,-.23,-.21,-.12,-.10
1900,-.23,-.13,-.16,-.16,-.17,-.20,-.13,-.07,.01,-.06,-.09,-.23,-.14,-.12,-.15,-.16,-.13,-.04
1901,-.21,-.18,-.20,-.20,-.23,-.24,-.22,-.19,-.15,-.31,-.18,-.23,-.21,-.21,-.21,-.21,-.21,-.21
1902,-.23,-.23,-.25,-.19,-.22,-.26,-.23,-.33,-.19,-.26,-.24,-.26,-.24,-.24,-.23,-.22,-.27,-.23
1903,-.34,-.33,-.32,-.34,-.33,-.35,-.28,-.37,-.45,-.43,-.43,-.46,-.37,-.35,-.31,-.33,-.33,-.44
1904,-.53,-.56,-.53,-.45,-.54,-.48,-.41,-.44,-.39,-.37,-.26,-.34,-.44,-.45,-.52,-.50,-.45,-.34
1905,-.32,-.44,-.30,-.30,-.36,-.32,-.31,-.18,-.19,-.24,-.23,-.13,-.28,-.29,-.36,-.32,-.27,-.22
1906,-.05,-.09,-.19,-.15,-.26,-.36,-.24,-.27,-.32,-.30,-.39,-.37,-.25,-.23,-.09,-.20,-.29,-.34
1907,-.34,-.35,-.25,-.32,-.34,-.36,-.31,-.34,-.26,-.28,-.41,-.45,-.33,-.33,-.36,-.30,-.34,-.32
1908,-.41,-.43,-.46,-.43,-.45,-.43,-.32,-.34,-.38,-.43,-.42,-.46,-.41,-.41,-.43,-.45,-.37,-.41
1909,-.51,-.47,-.44,-.50,-.56,-.52,-.46,-.31,-.40,-.47,-.51,-.57,-.48,-.47,-.48,-.50,-.43,-.46
1910,-.50,-.47,-.51,-.43,-.33,-.30,-.27,-.31,-.35,-.52,-.58,-.59,-.43,-.43,-.51,-.42,-.29,-.49
1911,-.53,-.60,-.64,-.65,-.57,-.66,-.46,-.45,-.46,-.38,-.26,-.16,-.48,-.52,-.57,-.62,-.52,-.37
1912,-.12,-.11,-.14,-.16,-.21,-.31,-.27,-.29,-.28,-.32,-.28,-.30,-.23,-.22,-.13,-.17,-.29,-.29
1913,-.26,-.30,-.43,-.24,-.30,-.35,-.13,-.21,-.25,-.27,-.23,-.16,-.26,-.27,-.29,-.32,-.23,-.25
1914,-.16,-.19,-.17,-.18,-.14,-.19,-.12,-.08,-.06,-.13,-.18,-.08,-.14,-.15,-.17,-.17,-.13,-.12
1915,-.19,.01,.01,.08,-.03,-.22,-.02,-.18,-.14,-.20,-.26,-.33,-.12,-.10,-.09,.02,-.14,-.20
1916,-.31,-.30,-.25,-.21,-.25,-.45,-.39,-.24,-.21,-.33,-.50,-.51,-.33,-.31,-.31,-.23,-.36,-.35
1917,-.43,-.46,-.32,-.27,-.28,-.36,-.16,-.15,-.13,-.19,-.35,-.37,-.29,-.30,-.47,-.29,-.23,-.22
1918,-.30,-.31,-.26,-.25,-.27,-.19,-.09,-.24,-.12,-.10,-.10,-.03,-.19,-.22,-.33,-.26,-.18,-.10
1919,-.02,-.01,-.08,-.04,.04,-.16,-.12,-.20,-.23,-.24,-.14,-.18,-.12,-.10,-.02,-.03,-.16,-.20
1920,-.24,-.25,-.22,-.28,-.29,-.40,-.38,-.27,-.06,-.19,-.23,-.28,-.26,-.25,-.22,-.27,-.35,-.16
1921,-.31,-.32,-.48,-.57,-.48,-.48,-.29,-.23,-.19,-.12,-.24,-.24,-.33,-.33,-.30,-.51,-.33,-.19
1922,-.31,-.24,-.18,-.26,-.48,-.48,-.27,-.29,-.22,-.36,-.21,-.21,-.29,-.29,-.26,-.31,-.35,-.26
1923,-.32,-.30,-.26,-.22,-.27,-.24,-.31,-.37,-.43,-.37,-.17,-.22,-.29,-.29,-.28,-.25,-.31,-.32
1924,-.22,-.33,-.28,-.40,-.31,-.38,-.36,-.48,-.41,-.51,-.59,-.50,-.40,-.37,-.26,-.33,-.40,-.50
1925,-.46,-.37,-.31,-.37,-.37,-.42,-.35,-.24,-.31,-.30,-.15,-.06,-.31,-.35,-.45,-.35,-.34,-.26
1926,-.10,-.09,-.11,-.17,-.26,-.30,-.24,-.13,-.19,-.30,-.30,-.35,-.21,-.19,-.08,-.18,-.22,-.26
1927,-.31,-.35,-.34,-.32,-.36,-.41,-.23,-.28,-.18,-.26,-.22,-.33,-.30,-.30,-.34,-.34,-.31,-.22
1928,-.34,-.34,-.30,-.28,-.45,-.53,-.33,-.33,-.26,-.31,-.24,-.33,-.34,-.34,-.34,-.34,-.39,-.27
1929,-.38,-.40,-.51,-.50,-.49,-.51,-.36,-.43,-.32,-.31,-.28,-.45,-.41,-.40,-.37,-.50,-.43,-.30
1930,-.48,-.31,-.34,-.37,-.31,-.27,-.33,-.28,-.25,-.24,-.12,-.23,-.29,-.31,-.41,-.34,-.30,-.20
1931,-.22,-.12,-.11,-.24,-.27,-.26,-.08,-.12,-.28,-.29,-.39,-.25,-.22,-.22,-.19,-.21,-.15,-.32
1932,-.14,-.16,-.21,-.26,-.33,-.46,-.36,-.40,-.34,-.34,-.25,-.29,-.29,-.29,-.18,-.27,-.41,-.31
1933,-.31,-.27,-.27,-.29,-.26,-.36,-.29,-.30,-.32,-.38,-.43,-.39,-.32,-.31,-.29,-.27,-.32,-.38
1934,-.36,-.45,-.31,-.28,-.28,-.24,-.18,-.12,-.17,-.32,-.30,-.35,-.28,-.28,-.40,-.29,-.18,-.26
1935,-.35,-.37,-.34,-.37,-.21,-.32,-.33,-.27,-.29,-.24,-.22,-.23,-.30,-.31,-.36,-.31,-.31,-.25
1936,-.29,-.26,-.32,-.35,-.30,-.43,-.26,-.27,-.19,-.12,-.17,-.22,-.26,-.26,-.26,-.32,-.32,-.16
1937,-.22,-.18,-.17,-.26,-.21,-.27,-.22,-.08,-.05,-.15,-.06,-.15,-.17,-.17,-.21,-.21,-.19,-.09
1938,-.22,-.25,-.22,-.21,-.17,-.26,-.16,-.20,-.15,-.06,-.25,-.24,-.20,-.19,-.21,-.20,-.21,-.15
1939,-.25,-.21,-.14,-.18,-.11,-.14,-.13,-.15,-.13,-.14,-.10,.01,-.14,-.16,-.23,-.14,-.14,-.12
1940,-.04,-.06,.10,.04,.03,.04,.08,.03,.07,-.03,.00,.16,.03,.02,-.03,.06,.05,.01
1941,.09,.03,.10,.13,.10,-.02,.14,.17,.02,.15,.16,.19,.11,.10,.09,.11,.10,.11
1942,.19,.16,.14,.15,.15,.09,.01,.01,-.11,-.17,-.04,.01,.05,.07,.18,.15,.04,-.10
1943,.09,.04,-.01,-.06,-.03,.02,.23,-.06,.06,.11,.11,.13,.05,.04,.05,-.03,.07,.09
1944,.16,.15,.33,.35,.30,.30,.35,.36,.27,.12,.06,.12,.24,.24,.15,.33,.34,.15
1945,.18,.16,.13,.25,.16,.01,.14,.26,.28,.19,.10,.06,.16,.16,.15,.18,.14,.19
1946,-.03,-.09,-.08,-.12,-.12,-.34,-.17,-.18,-.06,-.16,-.17,-.18,-.14,-.12,-.02,-.11,-.23,-.13
1947,-.09,-.10,-.18,-.12,-.09,.04,-.06,-.12,-.24,-.28,-.14,-.22,-.13,-.13,-.12,-.13,-.05,-.22
1948,-.21,-.15,-.18,-.19,-.10,-.12,-.23,-.25,-.20,-.18,-.27,-.12,-.18,-.19,-.19,-.16,-.20,-.21
1949,-.11,-.18,-.04,-.13,-.19,-.28,-.15,-.15,-.13,-.16,-.21,-.17,-.16,-.15,-.13,-.12,-.20,-.16
1950,-.17,-.21,-.22,-.22,-.23,-.09,.01,-.12,-.12,-.32,-.33,-.34,-.20,-.18,-.19,-.22,-.07,-.25
1951,-.36,-.35,-.22,-.29,-.20,-.09,-.08,-.13,-.15,-.11,-.11,-.04,-.18,-.20,-.35,-.24,-.10,-.12
1952,.13,.10,.07,-.11,-.22,-.25,-.04,.08,.00,-.04,-.10,-.05,-.04,-.04,.06,-.09,-.07,-.05
